id,code,name,type,parent_id:id,user_type:id
pcg_m14_1678,1678,Autres emprunts et dettes,other,l10n_fr_m14.pcg_m14_167,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_168,168,Autres emprunts et dettes assimilées,view,l10n_fr_m14.pcg_m14_16,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1681,1681,Autres emprunts,view,l10n_fr_m14.pcg_m14_168,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16811,16811,Organismes d'assurances,other,l10n_fr_m14.pcg_m14_1681,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16812,16812,Entreprises non financières,other,l10n_fr_m14.pcg_m14_1681,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16813,16813,Particuliers,other,l10n_fr_m14.pcg_m14_1681,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16814,16814,Étrangers,other,l10n_fr_m14.pcg_m14_1681,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16818,16818,Autres prêteurs,other,l10n_fr_m14.pcg_m14_1681,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1682,1682,Bons à moyen terme négociables,other,l10n_fr_m14.pcg_m14_168,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1687,1687,Autres dettes,view,l10n_fr_m14.pcg_m14_168,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16871,16871,État et établissements nationaux,other,l10n_fr_m14.pcg_m14_1687,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16872,16872,Régions,other,l10n_fr_m14.pcg_m14_1687,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16873,16873,Départements,other,l10n_fr_m14.pcg_m14_1687,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16874,16874,Communes,view,l10n_fr_m14.pcg_m14_1687,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_168741,168741,Communes membres du GFP,other,l10n_fr_m14.pcg_m14_16874,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_168748,168748,Autres communes,other,l10n_fr_m14.pcg_m14_16874,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16875,16875,Groupements de collectivités,view,l10n_fr_m14.pcg_m14_1687,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_168751,168751,GFP de rattachement,other,l10n_fr_m14.pcg_m14_16875,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_168758,168758,Autres groupements,other,l10n_fr_m14.pcg_m14_16875,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16876,16876,Autres établissements publics locaux,other,l10n_fr_m14.pcg_m14_1687,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16878,16878,Autres organismes et particuliers,other,l10n_fr_m14.pcg_m14_1687,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1688,1688,Intérêts courus1,view,l10n_fr_m14.pcg_m14_168,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16883,16883,Intérêts courus sur emprunts obligataires,other,l10n_fr_m14.pcg_m14_1688,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16884,16884,Intérêts courus sur emprunts auprès des établissements de crédit,other,l10n_fr_m14.pcg_m14_1688,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_16888,16888,Intérêts sur autres emprunts et dettes assimilées,other,l10n_fr_m14.pcg_m14_1688,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_169,169,Primes de remboursement des obligations,other,l10n_fr_m14.pcg_m14_16,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_18,18,COMPTE DE LIAISON : AFFECTATION (BUDGETS ANNEXES - REGIES NON PERSONNALISEES),view,l10n_fr_m14.pcg_m14_0,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_181,181,Compte de liaison : affectation à ......,other,l10n_fr_m14.pcg_m14_18,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_19,19,DIFFERENCES SUR REALISATIONS D'IMMOBILISATIONS,view,l10n_fr_m14.pcg_m14_0,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_192,192,Plus ou moins-values sur cessions d’immobilisations,other,l10n_fr_m14.pcg_m14_19,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_193,193,Autres différences sur réalisations d’immobilisations2,other,l10n_fr_m14.pcg_m14_19,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_194,194,Provisions pour risques et charges sur emprunts - Stock,other,l10n_fr_m14.pcg_m14_19,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20,20,IMMOBILISATIONS INCORPORELLES,view,l10n_fr_m14.pcg_m14_0,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_202,202,Frais liés à la réalisation des documents d’urbanisme et à la numérisation du cadastre,other,l10n_fr_m14.pcg_m14_20,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_203,203,"Frais d’études, de recherche et de développement et frais d’insertion",view,l10n_fr_m14.pcg_m14_20,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2031,2031,Frais d’études,other,l10n_fr_m14.pcg_m14_203,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2032,2032,Frais de recherche et de développement,other,l10n_fr_m14.pcg_m14_203,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2033,2033,Frais d’insertion,other,l10n_fr_m14.pcg_m14_203,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204,204,Subventions d’équipement versées2,view,l10n_fr_m14.pcg_m14_20,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_2041,2041,Subventions d’équipement aux organismes publics,view,l10n_fr_m14.pcg_m14_204,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20411,20411,État,view,l10n_fr_m14.pcg_m14_2041,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204111,204111,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_20411,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204112,204112,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_20411,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204113,204113,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_20411,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20412,20412,Régions,view,l10n_fr_m14.pcg_m14_2041,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204121,204121,"Biens mobiliers, matériel et études",other,l10n_fr_m14.pcg_m14_20412,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204122,204122,Bâtiments et installations,other,l10n_fr_m14.pcg_m14_20412,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_204123,204123,Projets d’infrastructures d’intérêt national,other,l10n_fr_m14.pcg_m14_20412,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_20413,20413,Départements,view,l10n_fr_m14.pcg_m14_2041,l10n_fr_m14.fr_pcg_m14_default_type
